Time;Name;Class;Sender;Static
20:11:31.221;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.223;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.223;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.223;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.243;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.246;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.246;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.246;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.269;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.272;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.273;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.273;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.293;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.296;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.296;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.296;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.317;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.319;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.320;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.320;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.338;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.339;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.339;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.339;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.360;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.362;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.363;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.363;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.383;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.385;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.386;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.386;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.408;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.410;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.411;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.411;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.432;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.432;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.433;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.433;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.454;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.456;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.456;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.456;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.477;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.479;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.480;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.480;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.500;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.503;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.503;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.504;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.524;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.525;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.525;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.525;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.636;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.639;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.639;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.639;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.660;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.662;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.662;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.662;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.684;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.686;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.686;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.686;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.707;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.710;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.711;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.711;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.742;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.743;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.743;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.743;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.761;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.764;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.764;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.764;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.788;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.788;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
